,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
47 ),Brief Narrative ( Reasons for Suspicion ),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"HighValueVsIncomeMismatch, ExcessiveCashDeposits, StructuringPattern, UnusualCounterparties, HighRiskCountry, RapidFundsMovement",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
48 ),Characterization of Suspicious Transaction i.e. Nature of Suspected predicate Schedule Offence,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
49 ),Has the transaction already been reported to any law Enforcement Agency? If so list the agency,,,,,,,,,,,,,,
,a,,,,,,,,,,,,,,
,b,,,,,,,,,,,,,,
,c,,,,,,,,,,,,,,
,d,,,,,,,,,,,,,,
Part IV,Account Information,,,,,,,,,,,,,,
50 ),"Account number (s) effected , if any",,,,,,,,,,,,,,
,a ),,,b ),,,c ),,,d ),,,,,
51 ),Account Opened on  dd/mm/yyyy,,,,,,,,,,,,,,
,a ),,,b ),,,c ),,,d ),,,,,
52 ),Current Status of the Account(s),,,,,,,,,,,,,,
,a ),,,b ),,,c ),,,d ),,,,,
53 ),Purpose of the Account(s),,,,,,,,,,,,,,
,a ),,,b ),,,c ),,,d ),,,,,
54 ),Average Monthly Turnover of the Account(s),,,,,,,,,,,,,,
,a ),Dr.,,b ),Dr.,,c ),Dr.,,d ),Dr.,,,,
,,Cr.,,,Cr.,,,Cr.,,,Cr.,,,,
55 ),Aggregate Debits/Credits for Last 3 Years,,,,,,,,,,,,,,
,a ),Dr.,,b ),Dr.,,c ),Dr.,,d ),Dr.,,,,
,,Cr.,,,Cr.,,,Cr.,,,Cr.,,,,
56 ),Peak Balance(s) of last 3 years,,,,,,,,,,,,,,
,a ),,,b ),,,c ),,,d ),,,,,
57 ),Nature of Account(s),,,,,,,,,,,,,,
,,Individual,,,Partnership,,,Company,,,Trust,,,,
,P,Joint Account,,,,,,,,,,,,,
58 ),Transaction Mean / Method,,,,,,,,,,,,,,
,,Cash,,,Cheque,,,Remittance,,,Pay Order,,,,
,,Credit Card,,,Debit Card,,,Deposit,,,Fixed Deposit,,,,
,,Draft,,P,Transfer,,,LC,,,Online Transfer,,,,
59 ),Copies of Following Documents are attached,,,,,,,,,,,,,,
,P,Customer Identification documents / Accounts Opening Form,,,,,,,,,,,,,
,P,KYC /CDD of customer or Suspect,,,,,,,,,,,,,
,P,Other Documents obtained at the time of Opening Account/Relationship,,,,,,,,,,,,,
,,Related Documents Supporting the STR.,,,,,,,,,,,,,
60 ),Other Relevant information ( Information linked to STR or action taken by the reporting entity.,,,,,,,,,,,,,,
,,,"it is recommended to perform Enhanced Due Diligence (EDD), obtain supporting documents (SOF/SOW), monitor the customer for 90 days, and escalate to Compliance for STR filing if suspicious activity continues or remains unexplained.",,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Seal & Signature of Reporting Officer       
,,,,,,,,,,,,,,,
